Term,29c23697-0a63-493b-9ced-500612046e42,41ee531a-8d45-4067-8c0a-58e50eac58e7,5a739736-7a03-431e-8536-248d5f5eb218,4e4b68e7-e9f8-406a-b477-297d781fa67d,910bab8a-7927-4b42-9b62-b709ea0b7823,cd8531c9-894e-4e9d-bbc9-8471b99c11e3,a57303f3-c5ef-4418-ba3f-fde8e1596e03,8aa78510-515b-489f-9ecb-89e100f370d1,eed2c0ed-ca64-4bf3-b811-2c277b39e82b,33497299-202e-4799-bc63-a3bcf11c4c2a,
frowning,0,1,0,0,0,1,0,1,0,0,
cancel,0,1,1,0,0,0,0,0,0,0,
nicely,1,0,0,0,0,0,0,1,1,0,
abrupt,1,0,0,0,0,0,0,0,0,0,
aspir’d,0,0,0,0,0,1,0,0,0,0,
pretend,1,0,0,0,0,0,0,0,0,0,
guards,1,0,0,1,0,1,1,0,0,1,
imperfect,1,0,0,0,0,0,1,1,0,1,
commends,0,1,0,1,0,0,0,0,1,0,
pick,0,0,0,1,0,0,1,1,1,1,
holidame,0,0,0,0,0,1,0,0,0,0,
coals,0,0,0,0,0,1,1,0,1,0,
inheritrix,0,0,0,0,0,0,0,0,1,0,
menecrates,0,0,0,0,1,0,0,0,0,0,
blasts,1,1,0,0,0,0,0,1,0,0,
alphonso,0,0,1,0,0,0,0,0,0,0,
antonio,0,0,1,0,0,0,0,0,0,0,
shrinkd,0,0,1,0,0,0,0,0,0,0,
nonce49,1,0,0,0,0,0,0,0,0,0,
carriers,0,0,0,1,0,0,0,0,0,0,
l’anglais,0,0,0,0,0,0,0,0,1,0,
exhales,0,1,0,0,0,1,0,0,0,0,
admirationimpart,1,0,0,0,0,0,0,0,0,0,
tallow,0,0,0,1,0,0,0,0,0,0,
tuns,0,0,0,0,0,0,1,0,0,0,
1,1,1,1,1,1,1,1,1,1,1,
2,1,1,1,1,1,1,1,1,1,1,
3,1,1,1,1,1,1,1,1,1,1,
4,1,1,1,1,1,1,1,1,1,1,
poor’st,0,0,0,0,1,0,1,0,0,0,
5,1,1,1,1,1,1,1,1,1,1,
6,0,0,1,0,0,0,0,0,0,0,
7,0,0,1,0,0,0,0,0,0,0,
snaffle,0,0,0,0,1,0,0,0,0,0,
8,0,0,1,0,0,0,0,0,0,0,
dismayed,0,1,0,0,0,0,1,0,0,0,
9,0,0,1,0,0,0,0,0,0,0,
mercatio,0,0,1,0,0,0,0,0,0,0,
turf,1,0,0,0,0,0,0,0,1,0,
roll,0,0,0,1,1,0,0,0,0,1,
turn,1,1,1,1,1,1,1,1,1,1,
turk,0,0,0,1,0,0,0,1,1,1,
tabors,0,0,0,0,0,0,1,0,0,0,
gold,1,1,1,1,1,1,1,1,1,1,
ces,0,0,0,0,0,0,0,0,1,0,
pier,0,0,0,0,0,0,0,0,1,0,
betray’d,0,0,0,0,1,0,0,0,0,1,
harm’d,0,0,0,0,0,0,0,0,1,1,
apoplexy,0,0,0,0,0,0,1,0,0,0,
o’erpaid,0,0,0,0,0,0,0,1,0,0,
after,1,1,1,1,1,1,1,1,1,1,
sense18,1,0,0,0,0,0,0,0,0,0,
resume,0,0,0,0,0,0,1,1,0,0,
a,1,1,1,1,1,1,1,1,1,1,
b,1,1,1,1,1,1,1,1,1,1,
c,1,1,1,1,1,1,1,1,1,1,
garland,0,1,0,1,1,0,1,0,0,1,
d,0,0,1,1,0,0,0,0,0,0,
e,1,0,1,0,0,0,0,0,0,0,
posture,0,0,0,0,1,0,1,0,0,0,
f,1,0,0,0,0,0,0,0,0,0,
g,1,1,0,0,0,0,0,0,0,0,
laden,0,0,0,0,1,0,0,0,0,0,
h,1,0,0,0,1,0,0,0,0,0,
i,1,1,1,1,1,1,1,1,1,1,
accurst,1,0,1,0,0,0,0,0,0,0,
j,1,0,0,0,0,0,0,0,0,0,
weeping,1,1,1,0,0,1,1,1,0,1,
‘sisters,0,0,0,0,0,0,0,1,0,0,
eating,0,0,1,1,0,0,0,0,0,0,
pied,0,0,0,0,0,0,0,0,1,0,
l,1,0,0,0,0,0,0,0,0,0,
m,0,0,0,1,0,0,0,0,0,0,
o,1,1,1,1,1,1,1,1,1,1,
p,1,0,1,1,0,0,0,0,0,0,
entering,0,0,0,0,0,0,1,0,0,0,
r,1,0,0,0,0,1,0,0,0,0,
s,1,1,1,1,1,1,1,1,1,1,
newstore,0,0,0,0,0,0,0,0,1,0,
t,0,0,1,0,1,0,0,0,0,0,
readers,0,0,0,1,0,0,0,0,0,0,
u,1,0,0,0,0,0,0,0,0,0,
consorts,0,0,0,0,0,1,0,0,0,0,
v,1,1,1,1,1,1,1,1,1,1,
sunset,0,0,0,0,0,1,0,0,0,0,
“coriolanus”,0,0,0,0,0,0,1,0,0,0,
x,0,0,1,1,1,0,1,0,0,0,
accursd,0,0,0,1,0,0,0,0,0,0,
information,1,1,1,1,1,1,1,1,1,1,
adrian,0,0,0,0,0,0,1,0,0,0,
dogged,0,0,0,0,0,0,1,0,0,0,
waggoner,0,0,0,0,0,1,0,0,0,0,
straining,0,0,0,0,0,1,0,0,1,0,
exampl’d,0,0,0,0,0,0,0,0,1,0,
linstock,0,0,0,0,0,0,0,0,1,0,
good,1,1,1,1,1,1,1,1,1,1,
empty,0,1,0,1,1,1,0,0,1,1,
faithful,1,1,0,0,0,1,0,0,1,0,
resembleth,0,0,1,0,0,0,0,0,0,0,
gong,0,0,0,1,0,0,0,0,0,0,
grizzled,0,0,0,0,1,0,0,0,0,0,
selfcharity,0,0,0,0,0,0,0,0,0,1,
suffered,1,0,1,0,1,0,1,1,0,1,
befall’n,0,1,0,0,0,0,0,0,0,1,
copying,1,1,1,1,1,1,1,1,1,1,
besides,1,1,1,1,1,0,1,1,1,1,
serious,1,0,0,0,1,1,0,1,0,1,
disperse,0,0,0,0,0,1,0,0,0,0,
sense39,1,0,0,0,0,0,0,0,0,0,
tush,1,0,0,1,0,1,1,0,0,1,
rome,1,0,0,0,1,0,1,0,1,0,
delivering,0,0,1,0,0,0,0,0,1,0,
yok’d,0,0,0,0,0,0,0,0,0,1,
che,0,0,0,0,0,0,0,1,0,0,
rivets,0,0,0,0,0,0,0,0,1,0,
suspecting,0,0,0,0,0,1,0,0,0,0,
adoration,0,0,0,0,0,0,0,0,1,0,
lucianus,1,0,0,0,0,0,0,0,0,0,
things—,0,0,0,0,0,0,0,1,0,0,
walker,0,0,1,0,0,0,0,0,0,0,
gone,1,1,1,1,1,1,1,1,1,1,
shadowing,0,0,0,0,0,0,0,0,0,1,
walked,0,0,1,0,1,0,0,0,0,1,
importune,0,1,1,0,1,0,0,1,0,1,
scholars,1,0,0,0,0,0,0,0,0,0,
enjoined,0,0,1,0,0,0,0,0,0,0,
ascend,0,1,1,0,0,1,0,0,1,0,
passagesare,0,0,1,0,0,0,0,0,0,0,
raging,0,1,1,0,0,1,0,1,0,1,
displeased,0,1,1,0,0,0,0,0,0,0,
prayer’s,0,0,0,0,0,1,0,0,0,0,
representation,1,0,0,0,0,0,0,0,0,0,
gregorys,0,0,1,0,0,0,0,0,0,0,
ascent,0,0,0,0,0,0,1,0,0,0,
